business_id,business_name,city_id,city_name,category_id,category_name,directory_path,directory_url,domain,homepage_url,best_contact_method,preferred_contact,existing_email,visible_emails,guessed_emails,phone_numbers,contact_pages,contact_forms,social_links,mx_hosts,notes
kelowna-painters-ChIJgansbNTzfVMRlhjaxJlGkfM,7 lines Painting Ltd.,kelowna,Kelowna,painters,Painters,/kelowna/painters/kelowna-painters-ChIJgansbNTzfVMRlhjaxJlGkfM,https://okanagantradesdirectory.com/kelowna/painters/kelowna-painters-ChIJgansbNTzfVMRlhjaxJlGkfM,7linespainting.net,https://7linespainting.net/,email,email.-7linespainting@gmail.com,,email.-7linespainting@gmail.com,,+1 236-883-8238 | 2368838238,https://www.7linespainting.net/about | https://www.7linespainting.net/contact | https://www.7linespainting.net/,https://www.7linespainting.net/search,,mail.webador.com,
kamloops-cabinet-makers-millwork-ChIJJfUeAmYsflMR42YXHZ-mavE,7 Point Millworks & Installations Ltd.,kamloops,Kamloops,cabinet-makers-millwork,Cabinet Makers / Millwork,/kamloops/cabinet-makers-millwork/kamloops-cabinet-makers-millwork-ChIJJfUeAmYsflMR42YXHZ-mavE,https://okanagantradesdirectory.com/kamloops/cabinet-makers-millwork/kamloops-cabinet-makers-millwork-ChIJJfUeAmYsflMR42YXHZ-mavE,7pointmillworks.ca,http://www.7pointmillworks.ca/,email,info@7pointmillworks.ca,,info@7pointmillworks.ca,,+1 250-314-6505 | (250) 314-6505 | 250-314-6509,https://www.7pointmillworks.ca/about-us/ | https://www.7pointmillworks.ca/contact-us/ | https://www.7pointmillworks.ca/contact-us,,https://www.facebook.com/7pointmillworks | https://www.instagram.com/7pointmillworks/,7pointmillworks-ca.mail.protection.outlook.com,
west-kelowna-plumbers-4243790528956001393,911 Plumbing Heating Drainage Ltd.,west-kelowna,West Kelowna,plumbers,Plumbers,/west-kelowna/plumbers/west-kelowna-plumbers-4243790528956001393,https://okanagantradesdirectory.com/west-kelowna/plumbers/west-kelowna-plumbers-4243790528956001393,911plumbingheating.com,https://www.911plumbingheating.com/,guessed_email,info@911plumbingheating.com,,,info@911plumbingheating.com | hello@911plumbingheating.com | office@911plumbingheating.com | admin@911plumbingheating.com | contact@911plumbingheating.com,+1 250-801-0911 | (250) 801-0911 | +1 (250) 801-0911,https://911plumbingheating.com/about-us.html | https://911plumbingheating.com/contact.html,,https://www.facebook.com/911-Plumbing-Heating-Drainage-Ltd-624585180967206/,_dc-mx.71bda172b799.911plumbingheating.com | mailstore1.secureserver.net | smtp.secureserver.net,https://www.911plumbingheating.com/contact: HTTP 404 | https://www.911plumbingheating.com/contact-us: HTTP 404 | https://www.911plumbingheating.com/about: HTTP 404 | No visible email or contact form found
west-kelowna-electricians-3937839774412037518,A1 Choice Plumbing & Drain Inc West Kelowna,west-kelowna,West Kelowna,electricians,Electricians,/west-kelowna/electricians/west-kelowna-electricians-3937839774412037518,https://okanagantradesdirectory.com/west-kelowna/electricians/west-kelowna-electricians-3937839774412037518,a1choiceplumbing.com,http://www.a1choiceplumbing.com/,email,service@a1choiceplumbing.com,,service@a1choiceplumbing.com,,+1 250-768-0202 | 250-768-0202,https://a1choiceplumbing.com/about-us/ | https://a1choiceplumbing.com/contact-us/ | https://a1choiceplumbing.com/team-building-kelowna/,https://a1choiceplumbing.com/contact-us/ | https://a1choiceplumbing.com/,https://www.facebook.com/pages/A1-Choice-Plumbing-Drain-Inc/661706950575523 | https://a1choiceplumbing.com/team-building-kelowna/?share=facebook | https://a1choiceplumbing.com/team-building-kelowna/?share=twitter,alt1.aspmx.l.google.com | alt2.aspmx.l.google.com | alt3.aspmx.l.google.com | alt4.aspmx.l.google.com | aspmx.l.google.com,
kelowna-hvac-contractors-18432055420271209971,A-1 Heating and Air Conditioning,kelowna,Kelowna,hvac-contractors,HVAC Contractors,/kelowna/hvac-contractors/kelowna-hvac-contractors-18432055420271209971,https://okanagantradesdirectory.com/kelowna/hvac-contractors/kelowna-hvac-contractors-18432055420271209971,a1kelowna.com,http://www.a1kelowna.com/,email,a1hvac.kelowna@gmail.com,,a1hvac.kelowna@gmail.com,,+1 250-448-8456 | 250-448-8456 | (250) 448-8456,https://www.a1kelowna.com/about-us/ | https://www.a1kelowna.com/contact-us/,,https://www.facebook.com/A1-Heating-and-Air-Conditioning-216374325768779/,clientmx.natpal.com,https://www.a1kelowna.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.5: Unsupported content type: text/css
vernon-structural-steel-erectors-ChIJ4_D6CJPYfVMRUDeg7T1zzD4,A-1 Machine & Welding 1986 Ltd,vernon,Vernon,structural-steel-erectors,Structural Steel / Erectors,/vernon/structural-steel-erectors/vernon-structural-steel-erectors-ChIJ4_D6CJPYfVMRUDeg7T1zzD4,https://okanagantradesdirectory.com/vernon/structural-steel-erectors/vernon-structural-steel-erectors-ChIJ4_D6CJPYfVMRUDeg7T1zzD4,a1machine.bc.ca,http://www.a1machine.bc.ca/,guessed_email,info@a1machine.bc.ca,,,info@a1machine.bc.ca | hello@a1machine.bc.ca | office@a1machine.bc.ca | admin@a1machine.bc.ca | contact@a1machine.bc.ca,+1 250-542-2354 | (250)542-2354 | (250) 275-8050 | (250)275-8050,https://a1machine.bc.ca/contact/,https://a1machine.bc.ca/ | https://a1machine.bc.ca/contact/,https://www.instagram.com/a1machine_welding/?utm_source=ig_web_button_share_sheet | https://linkedin.com/boldmediagroup,a1machine-bc-ca.mail.protection.outlook.com,http://www.a1machine.bc.ca/contact-us: HTTP 404 | http://www.a1machine.bc.ca/about: HTTP 404 | http://www.a1machine.bc.ca/about-us: HTTP 404
vernon-septic-drainage-16536748518465029162,AAA Septic Services,vernon,Vernon,septic-drainage,Septic / Drainage,/vernon/septic-drainage/vernon-septic-drainage-16536748518465029162,https://okanagantradesdirectory.com/vernon/septic-drainage/vernon-septic-drainage-16536748518465029162,aaaseptic.ca,http://aaaseptic.ca/,email,aaasepticservice1@gmail.com,,aaasepticservice1@gmail.com,,+1 250-503-1900 | 250-503-1900,https://aaaseptic.ca/,,,,http://aaaseptic.ca/contact: HTTP 404 | http://aaaseptic.ca/contact-us: HTTP 404 | http://aaaseptic.ca/about: HTTP 404
west-kelowna-general-contractors-ChIJVVUx9N_0fVMRNLSNVRPQx1I,AA Contracting,west-kelowna,West Kelowna,general-contractors,General Contractors,/west-kelowna/general-contractors/west-kelowna-general-contractors-ChIJVVUx9N_0fVMRNLSNVRPQx1I,https://okanagantradesdirectory.com/west-kelowna/general-contractors/west-kelowna-general-contractors-ChIJVVUx9N_0fVMRNLSNVRPQx1I,aacontracting.ca,https://www.aacontracting.ca/,email,aacontractingkelowna@me.com,,aacontractingkelowna@me.com,,+1 250-808-8081 | +1 (250) 808-8081,https://www.aacontracting.ca/about-us/ | https://www.aacontracting.ca/contact-us/,https://www.aacontracting.ca/contact-us/#wpcf7-f826-p25-o1,https://www.facebook.com/aacontractingkelowna/,,https://www.aacontracting.ca/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.2: Unsupported content type: text/css
kamloops-window-door-installers-ChIJvaF-AgktflMRBdqkrDWpGBY,Aall Glass Ltd,kamloops,Kamloops,window-door-installers,Window & Door Installers,/kamloops/window-door-installers/kamloops-window-door-installers-ChIJvaF-AgktflMRBdqkrDWpGBY,https://okanagantradesdirectory.com/kamloops/window-door-installers/kamloops-window-door-installers-ChIJvaF-AgktflMRBdqkrDWpGBY,aallglass.com,https://aallglass.com/,guessed_email,info@aallglass.com,,,info@aallglass.com | hello@aallglass.com | office@aallglass.com | admin@aallglass.com | contact@aallglass.com,+1 250-372-5177 | 250-372-5177,https://www.aallglass.com/contact-us,,http://wix.com/,fallbackmx.spamexperts.eu | mail.aallglass.com | mx.spamexperts.com,https://aallglass.com/contact: HTTP 404 | https://aallglass.com/about: HTTP 404 | https://aallglass.com/about-us: HTTP 404 | https://aallglass.com/team: HTTP 404 | No visible email or contact form found
kamloops-general-contractors-ChIJWVYxcYssflMRoAC64dy7aqc,A&T Project Developments Inc,kamloops,Kamloops,general-contractors,General Contractors,/kamloops/general-contractors/kamloops-general-contractors-ChIJWVYxcYssflMRoAC64dy7aqc,https://okanagantradesdirectory.com/kamloops/general-contractors/kamloops-general-contractors-ChIJWVYxcYssflMRoAC64dy7aqc,aandt.ca,http://www.aandt.ca/,email,info@aandt.ca,,info@aandt.ca,,+1 250-851-9292 | 250.851.9292 | 250.851.9922,https://www.aandt.ca/about-us/ | https://www.aandt.ca/meet-our-team/ | https://www.aandt.ca/contact/ | http://www.aandt.ca/contact/,,https://www.aandt.ca/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.10.0 | https://www.instagram.com/aandtprojectdevelopments/ | https://www.facebook.com/aandtprojectdevelopments | https://www.linkedin.com/company/a&#038;t-project-developments-inc./ | https://www.instagram.com/p/DVoSCFlD0Uf/ | https://www.instagram.com/p/DVcNdgnFvv-/ | https://www.instagram.com/p/DVMfpvAAcIQ/ | https://www.instagram.com/p/DUjaXN7Aam7/ | https://www.instagram.com/p/DT07ajyAZXo/ | https://www.instagram.com/p/DTJPUDIFfEl/ | https://www.linkedin.com/company/a&#038;t-project-developments-inc./posts/?feedView=all&#038;viewAsMember=true | https://www.facebook.com/aandtprojectdevelopments/ | http://www.aandt.ca/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.10.0,aandt-ca.mail.protection.outlook.com,http://www.aandt.ca/contact-us: HTTP 404
kelowna-general-contractors-ChIJVd81XM6MfVMRuWezD7AMcvw,Aardvark Pavement Marking Services,kelowna,Kelowna,general-contractors,General Contractors,/kelowna/general-contractors/kelowna-general-contractors-ChIJVd81XM6MfVMRuWezD7AMcvw,https://okanagantradesdirectory.com/kelowna/general-contractors/kelowna-general-contractors-ChIJVd81XM6MfVMRuWezD7AMcvw,aardvark.pro,http://www.aardvark.pro/,email,hr@aardvark.pro,,hr@aardvark.pro | sales@aardvark.pro,,+1 250-862-0813 | 250-862-0813,http://www.aardvark.pro/contact-us/ | http://www.aardvark.pro/2026/01/31/about-online-casino-games/,,,aardvark-pro.mail.protection.outlook.com,http://www.aardvark.pro/about-us: HTTP 404
kelowna-general-contractors-ChIJFTHmx0aLfVMRL5O23uwKWqo,AARO Builders,kelowna,Kelowna,general-contractors,General Contractors,/kelowna/general-contractors/kelowna-general-contractors-ChIJFTHmx0aLfVMRL5O23uwKWqo,https://okanagantradesdirectory.com/kelowna/general-contractors/kelowna-general-contractors-ChIJFTHmx0aLfVMRL5O23uwKWqo,aarobuilders.com,https://aarobuilders.com/,email,info@aarobuilders.com,,info@aarobuilders.com,,+1 250-469-4669 | (250) 469-4669,https://aarobuilders.com/,https://aarobuilders.com/,,aarobuilders.com,https://aarobuilders.com/wp-content/themes/enfold/config-templatebuilder/avia-shortcodes/contact/contact.css?ver=5.9.13: Unsupported content type: text/css | https://aarobuilders.com/wp-content/themes/enfold/config-templatebuilder/avia-shortcodes/team/team.css?ver=5.9.13: Unsupported content type: text/css | https://aarobuilders.com/contact: HTTP 404 | https://aarobuilders.com/contact-us: HTTP 404
kelowna-sheet-metal-fabrication-ChIJHRQtJO-NfVMRnBergz3DJEA,Aaron Machining & Manufacturing,kelowna,Kelowna,sheet-metal-fabrication,Sheet Metal / Custom Fabrication,/kelowna/sheet-metal-fabrication/kelowna-sheet-metal-fabrication-ChIJHRQtJO-NfVMRnBergz3DJEA,https://okanagantradesdirectory.com/kelowna/sheet-metal-fabrication/kelowna-sheet-metal-fabrication-ChIJHRQtJO-NfVMRnBergz3DJEA,aaronmachineshop.com,https://www.aaronmachineshop.com/,email,estimating@aaronmachineshop.com,,estimating@aaronmachineshop.com,,(403) 255-2425 | 403-255-2425 | 403-255-2486,https://www.aaronmachineshop.com/about-us/ | https://www.aaronmachineshop.com/about-us/sustainability/ | https://www.aaronmachineshop.com/join-our-team/ | https://www.aaronmachineshop.com/contact-us/ | https://aaronmachineshop.com/about-us/,https://www.aaronmachineshop.com/join-our-team/#wpcf7-f291-p274-o1 | https://www.aaronmachineshop.com/contact-us/,https://www.facebook.com/AaronMachineShop?fref=ts | https://www.linkedin.com/company/aaron-machine-shop-ltd/?originalSubdomain=ca,d400856.a.ess.ca.barracudanetworks.com | d400856.b.ess.ca.barracudanetworks.com,
west-kelowna-septic-drainage-7650322901251159322,AA Septic Services,west-kelowna,West Kelowna,septic-drainage,Septic / Drainage,/west-kelowna/septic-drainage/west-kelowna-septic-drainage-7650322901251159322,https://okanagantradesdirectory.com/west-kelowna/septic-drainage/west-kelowna-septic-drainage-7650322901251159322,aasepticservices.ca,http://www.aasepticservices.ca/,email,info@aasepticservices.ca,,info@aasepticservices.ca | stephandlee@telus.net,,778-214-6174 | 778-214-2235,https://www.aasepticservices.ca/contact-us | https://www.aasepticservices.ca/about-us,,https://www.facebook.com/people/AA-Septic-Services/100089847440640/ | http://wix.com/,mx.aasepticservices.ca.cust.a.hostedemail.com,http://www.aasepticservices.ca/contact: HTTP 404 | http://www.aasepticservices.ca/about: HTTP 404
